user_id,name,review_count,yelping_since,average_stars,fans,useful,funny,cool
5fc640e7628441e3a6160a,Olivia Smith,124,2021-01-12,5.0,48,355,135,220
c868bafea2ee475fb118e8,Olivia Davis,42,2021-09-15,3.43,47,71,33,225
4093f9df3ecc4d11a521da,Brian Miller,3,2014-09-20,4.53,195,467,90,154
068e1dcf8eed44058a01db,Grace Smith,28,2012-06-02,4.71,2,96,58,225
71d9ceb8f6fd40b89e8f65,David Davis,22,2015-01-09,4.39,70,263,152,177
b45cb958cba14d84b4de28,Grace Martin,52,2011-08-22,3.23,125,341,67,106
18499785eb46468f80f2a6,Amy Martinez,6,2016-08-04,4.89,82,428,83,106
04d09e946e8f452aadff51,Claire Martinez,5,2017-07-04,4.76,168,466,90,155
46107f173aaa4e5184b012,Noah Moore,25,2021-10-25,4.32,50,299,152,92
4258eda32d1545c0b57066,Tina Wilson,3,2013-10-28,4.04,110,288,140,229
9be1b870bbbc48129936e9,Sam Clark,4,2012-05-16,4.06,25,208,163,55
a736c0e5dfe24065b00f7e,Frank Thompson,69,2011-08-08,3.84,42,283,85,16
645a2d85602d4f27a63eb0,Claire Thomas,82,2014-07-11,4.35,34,337,163,147
1104636d6f964fb0a54111,Karen Miller,61,2017-03-17,3.92,148,323,174,21
3e53c2ab431646f293f2d4,Frank Wilson,39,2010-10-19,3.31,40,296,104,57
b674a60db1bc4cd3ba71ce,Wendy Thomas,11,2019-02-07,3.17,133,220,135,112
8f675424d5fa48a2b95e97,Grace Thomas,12,2015-07-09,3.37,69,97,181,1
3e6310ac15894cd5afcf6a,Yvonne Smith,56,2019-07-07,4.06,113,27,167,67
4016cd519efa4ba1891cb4,Alice Clark,105,2015-07-24,3.88,174,210,55,163
94cbec5f1a53463f9b0bd7,Wendy Jackson,3,2011-11-13,4.05,172,198,143,112
4f6e9db8fc9d4f1f8b3d5b,Brian Jackson,145,2010-04-05,4.25,2,304,89,268
d3493ccd866745d5a1b239,Paul Davis,6,2016-09-05,3.46,156,450,29,28
6e9ab7f940ad4cf2a3037d,Yvonne Thompson,52,2016-06-20,4.93,191,350,74,215
b3e8c5eb77544e8c8c3a1e,Irene Martin,7,2019-10-04,3.71,133,402,195,177
83e6299dbc5341339a7d21,Victor Jones,13,2020-07-09,3.6,37,289,191,193
5763f6f2d4e34c10b9ae5b,Eve Jackson,30,2011-12-07,4.24,132,463,157,201
f48ca8b4e6bf48bb835cea,Sam Harris,8,2013-10-10,2.61,127,469,198,15
e2d99edac97a4026a4b3d5,Leo Garcia,72,2012-06-28,3.35,132,76,114,237
bc34d13c2e304f13a90c48,Noah Davis,4,2011-04-13,4.59,85,319,151,99
bfd10461b0404a6dbbdab0,David Martinez,3,2010-01-11,2.68,105,252,33,195
ca585ef2488b45f4812334,Victor Anderson,96,2010-12-27,4.68,130,486,59,88
e46639d117ee493ebf6e5c,Grace Jones,49,2016-04-16,4.96,92,292,34,118
d8b82053e7e845dc9197e5,Eve Williams,14,2011-10-28,3.64,154,7,187,210
2286037dfdd542b5a51ea8,Paul Brown,19,2012-05-02,4.1,141,104,122,280
f705859153204f308a8725,David Miller,32,2011-06-01,4.68,60,64,186,263
4065a8c17ea340fc8c5ffc,Uma Anderson,48,2018-09-08,3.57,122,100,83,217
7c2210617c2541de9aef1a,Eve Martin,14,2017-08-16,4.51,151,47,80,161
3d039bc46fdd4f8996ef66,Olivia Brown,30,2021-07-16,3.43,97,391,135,158
ae1685b4bfbd43bdb8e0f2,Uma Clark,9,2011-05-04,3.57,143,247,113,289
553cbf99414346f4893266,Quinn Brown,3,2012-07-03,3.34,25,335,74,62
6efbbcee600045b3b461cb,Jack Jackson,54,2015-06-19,4.14,77,499,63,286
2ac434b054b4445ebbf3f9,Derek Robinson,3,2017-10-14,4.71,140,323,102,194
4776a50d112345938edcc7,Brian Garcia,3,2011-07-24,3.77,179,239,15,184
7b62047233bb4eab914488,Rachel White,65,2012-07-16,3.01,129,133,37,177
f926964a58704619b6e113,Wendy Martin,69,2015-01-21,3.14,132,377,8,243
4db4c664f671499a8bc578,Tina Williams,17,2010-03-20,4.18,68,253,31,204
013afce181a24414bb30ea,Amy Smith,24,2014-09-28,5.0,140,378,39,28
87cc77c7b3ad48a09f3724,Mia Taylor,13,2019-02-05,4.18,71,11,15,234
5e0719d317a746ae97d9c5,Derek Jones,15,2016-04-25,3.63,10,81,11,218
82ce00891dfa486599d2dc,Olivia Moore,8,2015-03-16,4.44,49,64,163,274
27216408727f48f49c3836,Carol Davis,7,2015-11-08,3.73,122,340,36,280
12db8a5a702a4fb0855bb0,Mia Robinson,12,2021-05-09,3.64,192,259,111,284
12033c29f68e46f29d5b5a,Leo Martinez,53,2016-03-29,3.23,99,158,19,12
81e13f7a8b904f5dbcb5f2,Wendy Garcia,96,2016-05-29,4.89,172,154,189,189
2ac69984164a450599a45a,Zach Martin,48,2021-02-28,2.12,155,303,47,280
